country_name,year,avg_rate
Australia,2011,5.08
Australia,2012,5.23
Australia,2013,5.67
Australia,2014,6.06
Australia,2015,6.06
Australia,2016,5.71
Australia,2017,5.59
Australia,2018,5.29
Australia,2019,5.16
Australia,2020,6.49
Australia,2021,5.24
Austria,2011,4.88
Austria,2012,5.22
Austria,2013,5.72
Austria,2014,6.03
Austria,2015,6.18
Austria,2016,6.47
Austria,2017,5.93
Austria,2018,5.21
Austria,2019,4.82
Austria,2020,6.1
Austria,2021,6.46
Belgium,2011,7.15
Belgium,2012,7.57
Belgium,2013,8.46
Belgium,2014,8.56
Belgium,2015,8.51
Belgium,2016,7.84
Belgium,2017,7.12
Belgium,2018,5.98
Belgium,2019,5.37
Belgium,2020,5.56
Belgium,2021,6.42
Canada,2011,7.55
Canada,2012,7.38
Canada,2013,7.13
Canada,2014,6.97
Canada,2015,6.94
Canada,2016,7.05
Canada,2017,6.38
Canada,2018,5.91
Canada,2019,5.73
Canada,2020,9.6
Canada,2021,7.86
Chile,2011,7.32
Chile,2012,6.58
Chile,2013,6.13
Chile,2014,6.42
Chile,2015,6.37
Chile,2016,6.68
Chile,2017,6.97
Chile,2018,7.36
Chile,2019,7.24
Chile,2020,10.78
Chile,2021,9.25
Colombia,2011,10.88
Colombia,2012,10.43
Colombia,2013,9.7
Colombia,2014,9.15
Colombia,2015,8.95
Colombia,2016,9.26
Colombia,2017,9.42
Colombia,2018,9.72
Colombia,2019,10.54
Colombia,2020,16.12
Colombia,2021,13.97
"Costa Rica",2011,10.22
"Costa Rica",2012,10.15
"Costa Rica",2013,9.49
"Costa Rica",2014,9.58
"Costa Rica",2015,9.61
"Costa Rica",2016,9.47
"Costa Rica",2017,9.17
"Costa Rica",2018,10.19
"Costa Rica",2019,11.78
"Costa Rica",2020,19.64
"Costa Rica",2021,17.17
Czechia,2011,6.72
Czechia,2012,6.97
Czechia,2013,6.98
Czechia,2014,6.12
Czechia,2015,5.04
Czechia,2016,3.96
Czechia,2017,2.89
Czechia,2018,2.25
Czechia,2019,2.02
Czechia,2020,2.55
Czechia,2021,3
Germany,2011,5.86
Germany,2012,5.37
Germany,2013,5.24
Germany,2014,5.01
Germany,2015,4.62
Germany,2016,4.16
Germany,2017,3.76
Germany,2018,3.4
Germany,2019,3.17
Germany,2020,3.86
Germany,2021,3.61
Denmark,2011,7.77
Denmark,2012,7.81
Denmark,2013,7.38
Denmark,2014,6.85
Denmark,2015,6.29
Denmark,2016,6.02
Denmark,2017,5.82
Denmark,2018,5.09
Denmark,2019,5.05
Denmark,2020,5.66
Denmark,2021,5.3
Spain,2011,21.42
Spain,2012,24.84
Spain,2013,26.12
Spain,2014,24.46
Spain,2015,22.04
Spain,2016,19.63
Spain,2017,17.22
Spain,2018,15.25
Spain,2019,14.11
Spain,2020,15.55
Spain,2021,15.26
Estonia,2011,12.32
Estonia,2012,9.89
Estonia,2013,8.49
Estonia,2014,7.33
Estonia,2015,6.15
Estonia,2016,6.7
Estonia,2017,5.76
Estonia,2018,5.52
Estonia,2019,4.53
Estonia,2020,6.77
Estonia,2021,6.43
Finland,2011,7.97
Finland,2012,7.83
Finland,2013,8.29
Finland,2014,8.78
Finland,2015,9.43
Finland,2016,8.93
Finland,2017,8.74
Finland,2018,7.42
Finland,2019,6.74
Finland,2020,7.76
Finland,2021,7.87
France,2011,9.22
France,2012,9.77
France,2013,10.3
France,2014,10.27
France,2015,10.34
France,2016,10.04
France,2017,9.45
France,2018,9.01
France,2019,8.43
France,2020,8.02
France,2021,8.04
"United Kingdom",2011,8.1
"United Kingdom",2012,7.99
"United Kingdom",2013,7.59
"United Kingdom",2014,6.19
"United Kingdom",2015,5.37
"United Kingdom",2016,4.9
"United Kingdom",2017,4.39
"United Kingdom",2018,4.08
"United Kingdom",2019,3.84
"United Kingdom",2020,4.54
"United Kingdom",2021,4.64
Greece,2011,17.9
Greece,2012,24.52
Greece,2013,27.49
Greece,2014,26.54
Greece,2015,24.98
Greece,2016,23.56
Greece,2017,21.5
Greece,2018,19.32
Greece,2019,17.3
Greece,2020,16.43
Greece,2021,15.36
Hungary,2011,10.7
Hungary,2012,10.65
Hungary,2013,9.79
Hungary,2014,7.52
Hungary,2015,6.63
Hungary,2016,4.95
Hungary,2017,4.05
Hungary,2018,3.58
Hungary,2019,3.33
Hungary,2020,4.1
Hungary,2021,4.13
Ireland,2011,15.4
Ireland,2012,15.5
Ireland,2013,13.77
Ireland,2014,11.88
Ireland,2015,9.92
Ireland,2016,8.38
Ireland,2017,6.73
Ireland,2018,5.78
Ireland,2019,4.97
Ireland,2020,5.82
Ireland,2021,6.62
Iceland,2011,7.74
Iceland,2012,6.79
Iceland,2013,6.02
Iceland,2014,5.49
Iceland,2015,4.49
Iceland,2016,3.46
Iceland,2017,3.22
Iceland,2018,3.17
Iceland,2019,3.92
Iceland,2020,6
Iceland,2021,6.08
Israel,2012,6.87
Israel,2013,6.22
Israel,2014,5.88
Israel,2015,5.24
Israel,2016,4.84
Israel,2017,4.23
Israel,2018,3.98
Israel,2019,3.83
Israel,2020,4.29
Israel,2021,5.12
Italy,2011,8.59
Italy,2012,10.9
Italy,2013,12.35
Italy,2014,12.81
Italy,2015,12.03
Italy,2016,11.73
Italy,2017,11.32
Italy,2018,10.69
Italy,2019,9.99
Italy,2020,9.31
Italy,2021,9.71
Japan,2011,4.58
Japan,2012,4.32
Japan,2013,4.01
Japan,2014,3.58
Japan,2015,3.37
Japan,2016,3.11
Japan,2017,2.82
Japan,2018,2.43
Japan,2019,2.36
Japan,2020,2.79
Japan,2021,2.83
Korea,2011,3.39
Korea,2012,3.21
Korea,2013,3.12
Korea,2014,3.52
Korea,2015,3.6
Korea,2016,3.69
Korea,2017,3.68
Korea,2018,3.87
Korea,2019,3.76
Korea,2020,3.98
Korea,2021,3.73
Lithuania,2011,15.4
Lithuania,2012,13.4
Lithuania,2013,11.8
Lithuania,2014,10.73
Lithuania,2015,9.14
Lithuania,2016,7.92
Lithuania,2017,7.11
Lithuania,2018,6.18
Lithuania,2019,6.27
Lithuania,2020,8.54
Lithuania,2021,7.16
Luxembourg,2011,4.82
Luxembourg,2012,5.1
Luxembourg,2013,5.83
Luxembourg,2014,6.03
Luxembourg,2015,6.47
Luxembourg,2016,6.32
Luxembourg,2017,5.6
Luxembourg,2018,5.52
Luxembourg,2019,5.58
Luxembourg,2020,6.64
Luxembourg,2021,5.8
Latvia,2011,16.18
Latvia,2012,15.02
Latvia,2013,11.84
Latvia,2014,10.82
Latvia,2015,9.87
Latvia,2016,9.66
Latvia,2017,8.72
Latvia,2018,7.41
Latvia,2019,6.31
Latvia,2020,8.11
Latvia,2021,7.62
Mexico,2011,5.23
Mexico,2012,4.95
Mexico,2013,4.93
Mexico,2014,4.83
Mexico,2015,4.36
Mexico,2016,3.89
Mexico,2017,3.42
Mexico,2018,3.33
Mexico,2019,3.49
Mexico,2020,4.44
Mexico,2021,4.27
Netherlands,2011,4.98
Netherlands,2012,5.83
Netherlands,2013,7.27
Netherlands,2014,7.43
Netherlands,2015,6.89
Netherlands,2016,6.02
Netherlands,2017,4.86
Netherlands,2018,3.84
Netherlands,2019,3.41
Netherlands,2020,3.82
Netherlands,2021,3.33
Norway,2011,3.41
Norway,2012,3.29
Norway,2013,3.76
Norway,2014,3.63
Norway,2015,4.52
Norway,2016,4.76
Norway,2017,4.2
Norway,2018,3.88
Norway,2019,3.72
Norway,2020,4.62
Norway,2021,4.58
Poland,2011,9.65
Poland,2012,10.12
Poland,2013,10.33
Poland,2014,9
Poland,2015,7.5
Poland,2016,6.16
Poland,2017,4.89
Poland,2018,3.88
Poland,2019,3.28
Poland,2020,3.18
Poland,2021,3.51
Portugal,2011,13.5
Portugal,2012,16.58
Portugal,2013,17.19
Portugal,2014,14.62
Portugal,2015,13.03
Portugal,2016,11.46
Portugal,2017,9.22
Portugal,2018,7.17
Portugal,2019,6.67
Portugal,2020,7.14
Portugal,2021,6.73
Slovakia,2011,13.69
Slovakia,2012,13.94
Slovakia,2013,14.24
Slovakia,2014,13.18
Slovakia,2015,11.48
Slovakia,2016,9.67
Slovakia,2017,8.12
Slovakia,2018,6.57
Slovakia,2019,5.74
Slovakia,2020,6.69
Slovakia,2021,6.91
Slovenia,2011,8.25
Slovenia,2012,8.92
Slovenia,2013,10.18
Slovenia,2014,9.78
Slovenia,2015,9.02
Slovenia,2016,8.04
Slovenia,2017,6.58
Slovenia,2018,5.14
Slovenia,2019,4.46
Slovenia,2020,4.99
Slovenia,2021,4.78
Sweden,2011,7.78
Sweden,2012,7.97
Sweden,2013,8.02
Sweden,2014,7.92
Sweden,2015,7.39
Sweden,2016,6.94
Sweden,2017,6.68
Sweden,2018,6.32
Sweden,2019,6.78
Sweden,2020,8.31
Sweden,2021,8.99
Turkey,2011,9.12
Turkey,2012,8.41
Turkey,2013,9.05
Turkey,2014,9.89
Turkey,2015,10.32
Turkey,2016,10.88
Turkey,2017,10.93
Turkey,2018,10.94
Turkey,2019,13.73
Turkey,2020,13.15
Turkey,2021,12.29
"United States of America",2011,8.93
"United States of America",2012,8.08
"United States of America",2013,7.36
"United States of America",2014,6.16
"United States of America",2015,5.28
"United States of America",2016,4.88
"United States of America",2017,4.36
"United States of America",2018,3.89
"United States of America",2019,3.68
"United States of America",2020,8.09
"United States of America",2021,5.73
